short_code,standard_code,stock_name,security_group_code,stock_base_price,regular_market_unit,after_hours_market_unit,trading_halt_yn,liquidation_yn,management_stock_yn,market_warning_code,market_warning_risk_yn,dishonest_disclosure_yn,bypass_listing_yn,lock_division_code,par_value_change_code,capital_increase_code,margin_rate,credit_order_yn,credit_period,prev_day_volume,stock_par_value,stock_listing_date,listed_shares_thousand,capital,settlement_month,public_offering_price,preferred_stock_code,short_sale_overheat_yn,unusual_rise_yn,krx300_stock_yn,sales,operating_profit,ordinary_profit,net_income,roe,base_year_month,prev_day_market_cap_billion,company_credit_limit_exceed_yn,collateral_loan_yn,securities_lending_yn
216400,KR7216400002,인바이츠바이오코아,ST,000004130,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000518,000000000500,20150629,000000000007711,000000000003855657500,12,,0,,N,,000000216,000000003,-00000101,-0108,000000000,20241231,000000318,N,N,N
217320,KR7217320001,썬테크,ST,000003300,00001,00001,N,N,N,03,N,N,N,00,00,00,100,N,090,000000000034,000000000500,20150429,000000000001050,000000000000525000000,12,,0,,N,,000000257,-00000005,-00000009,-0009,000000000,20241231,000000034,N,N,N
217880,KR7217880004,틸론,ST,000001615,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000004067,000000000500,20150528,000000000010727,000000000005363645000,12,,0,,N,,000000077,-00000003,-00000043,-0029,000000000,20241231,000000173,N,N,N
217910,KR7217910009,에스제이켐,ST,000000310,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000058177,000000000100,20180427,000000000013990,000000000001399052200,12,,0,,N,,000000132,-00000019,-00000026,-0026,-00000077,20241231,000000043,N,N,N
217950,KR7217950005,파마리서치바이오,ST,000035300,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000002841,000000000500,20151105,000000000004183,000000000002091620000,12,,0,,N,,000000261,000000087,000000095,00102,000000026,20241231,000001476,N,N,N
222670,KR7222670002,플럼라인생명과학,ST,000004550,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000002692,000000000500,20150728,000000000004032,000000000002016466000,12,,0,,N,,000000000,-00000031,-00000038,-0038,-36100000,20241231,000000183,N,N,N
223220,KR7223220005,로지스몬,ST,000000616,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000028680,000000000100,20150709,000000000001620,000000000000162062000,12,,0,,N,,000000000,000000000,000000000,00000,000000000,20241231,000000009,N,N,N
224760,KR7224760009,엔에스컴퍼니,ST,000003200,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000001,000000000500,20150731,000000000003939,000000000001969850000,12,,0,,N,,000000714,000000005,000000035,00029,000000008,20241231,000000126,N,N,N
224810,KR7224810002,엄지하우스,ST,000002110,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000001,000000000500,20151021,000000000004200,000000000002100000000,12,,0,,N,,000000815,000000013,-00000032,-0034,-00000034,20241231,000000088,N,N,N
227420,KR7227420007,도부,ST,000000985,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000003,000000000500,20161228,000000000038044,000000000019022255000,12,,0,,N,,000000166,-00000106,-00000124,-0129,000000000,20241231,000000374,N,N,N
